Title,Organizer,Organizer Contact,Venue Name,Venue Location,Event link
Legends Tribute: The Soul Music Summer Series,Ultimate Legends Tribute,['https://www.legendstribute.info/'],Rainfire Arena,"3382 SR-5 N Douglasville, GA 30135",https://www.eventbrite.com/e/legends-tribute-the-soul-music-summer-series-tickets-664701308507?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
Camp Creek Soulfest- SUN July 23,Biddy Barnes Promotions,['https://www.twitter.com/Mrbiddybarnes'],3870 Redwine Rd SW,"3870 Redwine Road Southwest Atlanta, GA 30331",https://www.eventbrite.com/e/camp-creek-soulfest-sun-july-23-tickets-676243260797?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
The Arts First Friday Edition - Art - Music - Food - Dance - Poetry - Film,YORK PROMOTIONS,[],Underground Atlanta,"50 Upper Alabama Street Atlanta, GA 30303",https://www.eventbrite.com/e/the-arts-first-friday-edition-art-music-food-dance-poetry-film-tickets-476936599207?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
Miami Day In Atlanta Music & Food Festival Weekend,SPASE JENKINS * I AM SETT,[],Princeton Lakes Park,"3700 Princeton Lakes Pkwy Atlanta, GA 30331",https://www.eventbrite.com/e/miami-day-in-atlanta-music-food-festival-weekend-tickets-631632859887?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
"HOUSE OF MUSIC: Atlanta's #1 Rated Groove for Live Music, DJs & Great Food!",LeFoy Grant | Worldwin Events,"['https://www.facebook.com/worldwinevents', 'https://www.twitter.com/foygfactor']",Whisky Mistress,"3161 Maple Drive Call or Text: 678.827.2329 Atlanta, GA 30305",https://www.eventbrite.com/e/house-of-music-atlantas-1-rated-groove-for-live-music-djs-great-food-tickets-632682730077?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
Tri Music Fest 2023,Mu Mu Mu Chapter of Omega Psi Phi Fraternity Inc.,"['https://www.facebook.com/trimu.ques', 'https://www.tri-muques.org']","Thurman Springs Park, Home of the Hardy Family Automotive Amphitheater","4485 Pineview Drive Powder Springs, GA 30127",https://www.eventbrite.com/e/tri-music-fest-2023-tickets-634150239437?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
One World Music Fest,Lenoxx Entertainment,[],400 Loyola Dr SW,"400 Loyola Drive Southwest Atlanta, GA 30336",https://www.eventbrite.com/e/one-world-music-fest-tickets-651507485427?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
"Iris Presents: NURKO’s Discovery Tour @ Believe Music Hall | Sat, July 29th",Believe Music Hall,['https://www.facebook.com/believeatl'],Believe Music Hall,"181 Ralph David Abernathy Boulevard Atlanta, GA 30312",https://www.eventbrite.com/e/iris-presents-nurkos-discovery-tour-believe-music-hall-sat-july-29th-tickets-603706992867?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
2023 Sweet Auburn Music Fest,F.C.E. Entertainment,"['https://www.facebook.com/events/2448295852108563', 'http://www.FCEEnt.com']",Walden Middle School,"320 Irwin Street Northeast Atlanta, GA 30312",https://www.eventbrite.com/e/2023-sweet-auburn-music-fest-tickets-444246752997?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
Fairburn Third Fridays on Main Street Summer Music Festival,City of Fairburn,[],Frankie Arnold Stage &  Courtyard,"15 West Broad Street Fairburn, GA 30213",https://www.eventbrite.com/e/fairburn-third-fridays-on-main-street-summer-music-festival-tickets-673457658987?aff=ebdssbdestsearch&from=6c35ba6826af11eea76f568025b70951
